Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-11-03,4.776994705200195,4.776994705200195,4.776994705200195,4.776994705200195,6500,0.0,0
2016-11-04,4.838140808558714,4.838140808558714,4.715849844821312,4.769351959228516,47000,0.0,0
2016-11-07,4.7846386247601975,4.8152113652511535,4.738779149567949,4.792281627655029,141500,0.0,0
2016-11-08,4.83049814445836,4.83049814445836,4.784639029839383,4.815211772918701,156500,0.0,0
2016-11-09,4.845783480066515,4.845783480066515,4.639417326170143,4.669990062713623,282000,0.0,0
2016-11-10,4.769351491785252,4.845783701085842,4.769351491785252,4.807567596435547,127860,0.0,0
2016-11-11,4.868713395070905,4.868713395070905,4.7158496952475675,4.738779067993164,157500,0.0,0
2016-11-14,4.8304976523429755,4.8304976523429755,4.7158496952475675,4.738779067993164,145000,0.0,0
2016-11-15,4.769351338733104,4.792281073678605,4.708205864819465,4.776994705200195,127000,0.0,0
2016-11-16,4.776994705200195,4.7846380716672865,4.685276494329737,4.776994705200195,254100,0.0,0
2016-11-17,4.7846386185177225,4.792281621402582,4.708206402934238,4.75406551361084,302000,0.0,0
2016-11-18,4.769352141990669,4.784638877499454,4.517126837389063,4.74642276763916,626000,0.0,0
2016-11-21,4.769351731588166,4.776995098684848,4.669990510521932,4.723492622375488,385000,0.0,0
2016-11-22,4.7540658489339584,4.815211698604768,4.723493106326474,4.799925327301025,435500,0.0,0
2016-11-23,4.815211772918701,4.868713891079586,4.769352293843877,4.815211772918701,709500,0.0,0
2016-11-24,4.807568330724977,4.815211698604768,4.715850102902523,4.799925327301025,199000,0.0,0
2016-11-25,4.815211772918701,4.815211772918701,4.769352293843877,4.815211772918701,262100,0.0,0
2016-11-28,4.8152111987482735,4.914572419680209,4.799924829031376,4.891643047332764,916000,0.0,0
2016-11-29,4.899286125745861,4.960431605559256,4.868713385839164,4.9069294929504395,610000,0.0,0
2016-11-30,4.975718713653226,4.975718713653226,4.876357119266333,4.945145606994629,489500,0.0,0
2016-12-01,4.97571841645518,4.97571841645518,4.914572571246043,4.922215938568115,123000,0.0,0
2016-12-02,4.914572571246043,4.945145311622705,4.85342709049272,4.922215938568115,199000,0.0,0
2016-12-05,4.983361470023115,5.075079692086259,4.929858991591706,5.0292205810546875,2087000,0.0,0
2016-12-06,5.036863388991336,5.159154338158883,5.029220022440476,5.1438679695129395,774500,0.0,0
2016-12-07,5.143868666028936,5.25851662862554,5.09800955388146,5.1515116691589355,504000,0.0,0
2016-12-08,5.205014008936453,5.220300379241248,5.15151153064176,5.197371006011963,484000,0.0,0
2016-12-09,5.166798259339109,5.197370999912824,5.113295781107202,5.159154891967773,556500,0.0,0
2016-12-12,5.205014442087329,5.212657810103701,5.036864354741462,5.052150726318359,630000,0.0,0
2016-12-13,5.052150800135788,5.105652919208728,5.021578056535293,5.067437171936035,167200,0.0,0
2016-12-14,5.11329547888041,5.11329547888041,5.0215772625803705,5.09800910949707,175000,0.0,0
2016-12-15,5.090365909120141,5.090365909120141,4.9451452129992965,4.998647689819336,721500,0.0,0
2016-12-16,5.0062908849274645,5.067436362359822,4.991004515569376,5.059792995452881,283946,0.0,0
2016-12-19,5.0521503941862544,5.120938879532161,4.991004911898416,5.044507026672363,830000,0.0,0
2016-12-20,5.029220529886431,5.044506900074762,4.899286201057712,4.922215938568115,423100,0.0,0
2016-12-21,4.929859022455484,5.036863979988216,4.929859022455484,4.9757184982299805,352000,0.0,0
2016-12-22,4.983361716975999,4.983361716975999,4.906929861469095,4.945145606994629,407000,0.0,0
2016-12-23,4.952788678944777,4.983361419321438,4.891643198191454,4.922215938568115,526000,0.0,0
2016-12-28,4.937502051463572,4.960431423323314,4.914572315148036,4.929858684539795,263100,0.0,0
2016-12-29,4.922215690331751,4.991004534937999,4.922215690331751,4.968074798583984,104111,0.0,0
2016-12-30,4.998647621506111,5.029220360855229,4.929858775742696,5.02157735824585,379000,0.0,0
2017-01-03,5.036863997565297,5.166798328982888,5.0292206300909355,5.13622522354126,293542,0.0,0
2017-01-04,5.151511594034163,5.159154961508526,5.098009479536912,5.13622522354126,188500,0.0,0
2017-01-05,5.13622515430958,5.197370999912824,5.13622515430958,5.159154891967773,489800,0.0,0
2017-01-06,5.159154663948481,5.197370770204494,5.036863707058521,5.113295555114746,412870,0.0,0
2017-01-09,5.128582584202844,5.189728070510432,4.9910052400107725,5.052150726318359,1034600,0.0,0
2017-01-10,5.029220340024999,5.182084400593249,5.029220340024999,5.113295555114746,82000,0.0,0
2017-01-11,5.151510971608023,5.159154338158883,5.0827224949291665,5.1438679695129395,597500,0.0,0
2017-01-12,5.166797704709743,5.1820840733556865,5.120938234316136,5.1438679695129395,371500,0.0,0
2017-01-13,5.13622460296208,5.174440706804827,5.075079128378306,5.1438679695129395,211600,0.0,0
2017-01-16,5.143868294337237,5.1515112969149595,5.075079448858734,5.113295555114746,208000,0.0,0
2017-01-17,5.136225096351926,5.15151146646629,4.96807502509392,5.013934135437012,377500,0.0,0
2017-01-18,5.013934463266505,5.1209390610634085,4.960431982140135,4.983361721038818,719000,0.0,0
