Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-11-03,15.380495551753473,15.501261676203823,15.34599164990268,15.466757774353027,27080968,0.0,0
2016-11-04,15.440874653019074,15.527136853490278,15.414997144597951,15.449501037597656,26938815,0.0,0
2016-11-07,15.449503748747263,15.466756520932023,15.397747077507892,15.4322509765625,20825832,0.0,0
2016-11-08,15.458129670312877,15.578895781347278,15.43225051281342,15.518512725830078,26234851,0.0,0
2016-11-09,15.527139578263775,15.596149021687905,15.328737634083762,15.4322509765625,34243788,0.0,0
2016-11-10,15.484006525236206,15.622025387412577,15.475380140685855,15.52713680267334,27117031,0.0,0
2016-11-11,15.484009527508585,15.59614925777724,15.466756755062658,15.544392585754395,27634854,0.0,0
2016-11-14,15.52713901102921,15.742793719515726,15.484008727457848,15.561644554138184,35354071,0.0,0
2016-11-15,15.613399851659254,15.734165951300175,15.553016801838792,15.682409286499023,25650732,0.0,0
2016-11-16,15.725540330542152,15.777298643173467,15.570268683277789,15.630653381347656,23521274,0.0,0
2016-11-17,15.622026995909103,15.64790450690997,15.535764786838369,15.630653381347656,27177326,0.0,0
2016-11-18,15.630655139455849,15.665159039776206,15.553019307091326,15.613402366638184,18551458,0.0,0
2016-11-21,15.596148704051545,16.11372034184895,15.596148704051545,15.820429801940918,41347641,0.0,0
2016-11-22,15.846309661865234,15.949823006822623,15.768673830489718,15.846309661865234,52492006,0.0,0
2016-11-23,15.872184878942333,16.30349425959465,15.846307369104613,16.251737594604492,66351510,0.0,0
2016-11-24,16.19135309081715,16.36387584039923,16.05333423302566,16.16547393798828,26750197,0.0,0
2016-11-25,16.217232191781438,16.407009373877525,16.096466090676458,16.38113021850586,40943311,0.0,0
2016-11-28,16.47602016998907,16.56228238303595,15.97570130869501,16.087841033935547,85146467,0.0,0
2016-11-29,16.087840572629744,16.182729168791944,15.967074465015903,16.174102783203125,49107994,0.0,0
2016-11-30,16.1827281729069,16.234484837939892,15.932567942170436,16.001577377319336,39129809,0.0,0
2016-12-01,16.00157622612884,16.07921204075039,15.880810134635135,15.949819564819336,53798959,0.0,0
2016-12-02,15.984325102568738,15.992951487006087,15.734164889829382,15.949819564819336,48392142,0.0,0
2016-12-05,15.863558602431763,16.10509244956296,15.820428322197314,16.096466064453125,50351765,0.0,0
2016-12-06,16.09646874059957,16.199983733812925,16.0188329070183,16.04471206665039,31729059,0.0,0
2016-12-07,16.087839637633234,16.13959630284333,16.02745658733567,16.061962127685547,12167226,0.0,0
2016-12-08,16.105093893435253,16.2862430610382,16.06196360933404,16.182729721069336,26930735,0.0,0
2016-12-09,16.182728728230412,16.683047561557466,16.174102342876438,16.545028686523438,62582113,0.0,0
2016-12-12,16.52777570764785,16.950458712780218,16.303494627213684,16.605411529541016,79488183,0.0,0
2016-12-13,16.467392327275512,16.562280917763733,16.225858481175827,16.28624153137207,24933178,0.0,0
2016-12-14,16.217232855267074,16.510523380219578,16.217232855267074,16.234485626220703,32780688,0.0,0
2016-12-15,16.156850123888766,16.156850123888766,15.699663201719671,15.734167098999023,36612461,0.0,0
2016-12-16,15.734165951300175,15.872184820979717,15.630652621697873,15.682409286499023,24216836,0.0,0
2016-12-19,15.656530799004013,15.682409955165378,15.466755256431673,15.535764694213867,24624487,0.0,0
2016-12-20,15.518511999943527,15.518511999943527,15.268353403742871,15.345989227294922,29800167,0.0,0
2016-12-21,15.380493012739224,15.5098855026209,15.328736345849508,15.363240242004395,30868403,0.0,0
2016-12-22,15.397747763156941,15.397747763156941,15.225223324256785,15.285606384277344,21923062,0.0,0
2016-12-23,15.328735053859464,15.328735053859464,15.130333143075646,15.182089805603027,18108164,0.0,0
2016-12-26,15.147585353881908,15.328736153697271,15.000940095103662,15.311483383178711,16343100,0.0,0
2016-12-27,15.294232218741444,15.371868048912917,15.225222774735126,15.276979446411133,10090799,0.0,0
2016-12-28,15.285603284302276,15.3287352079375,15.087201371524205,15.199342727661133,26787189,0.0,0
2016-12-29,15.182091622905132,15.199344394250968,15.0354463570952,15.087203025817871,28439191,0.0,0
2016-12-30,15.12170675843531,15.190716190243363,15.069948450593294,15.182089805603027,22725952,0.0,0
2017-01-03,15.182092151124758,15.509886591526175,15.15621299320561,15.492633819580078,30458320,0.0,0
2017-01-04,15.440877596393765,15.622028416446133,15.397747310593884,15.544392585754395,25665746,0.0,0
2017-01-05,15.570270434594018,15.708289326505396,15.553019307091326,15.613402366638184,24563935,0.0,0
2017-01-06,15.613401577887876,15.66515824841128,15.492633819580078,15.492633819580078,17487854,0.0,0
